"from","to","KEGG","ReconX","HumanCyc","Reactome","OmniPath","weight","lapl_norm","lapl_norm_weight"
"MYC","YY1",NA,NA,NA,NA,"directed_stimulation",0.425666666666667,0.0118644749469062,0.00505031150239976
"EP300","YY1",NA,NA,NA,NA,"directed_stimulation",0.354333333333333,0.016120647005479,0.0057120825889414
"CUL1","RBX1",NA,NA,NA,NA,"directed_stimulation",0.584666666666667,0.0283752176919583,0.0165900439438983
"ITGB1","CXCL12",NA,NA,NA,NA,"directed",0.461666666666667,0.077151674981046,0.0356183566162495
"VDR","SNW1",NA,NA,NA,NA,"directed_stimulation",0.494333333333333,0.077151674981046,0.0381386446656304
"RBPJ","SNW1",NA,NA,NA,NA,"directed_stimulation",0.424,0.038575837490523,0.0163561550959817
"NCOR2","SNW1",NA,NA,NA,NA,"directed_stimulation",0.509666666666667,0.0445435403187374,0.0227023577157832
"TRIM28","CHEK2",NA,NA,NA,NA,"directed",0.447333333333333,0.0690065559342354,0.0308689326879146
"FOXM1","CHEK2",NA,NA,NA,NA,"directed_stimulation",0.547,0.051434449987364,0.0281346441430881
"TP53","CHEK2",NA,NA,NA,NA,"directed",0.511,0.0149170678790337,0.00762262168618622
"RB1","CHEK2",NA,NA,NA,NA,"directed_stimulation",0.447,0.0302613766334401,0.0135268353551477
"PPP2CA","CHEK2",NA,NA,NA,NA,"directed_stimulation",0.399333333333333,0.024098134635594,0.0096231884311472
"PRKCI","SRC",NA,NA,NA,NA,"directed_stimulation",0.456666666666667,0.051231551957856,0.0233957420607542
"FLT4","SRC",NA,NA,NA,NA,"directed_stimulation",0.491333333333333,0.0313727902569079,0.0154144976128941
"KIT","SRC",NA,NA,NA,NA,"directed_stimulation",0.520333333333333,0.0229114465541157,0.0119215893569915
"TLR3","SRC",NA,NA,NA,NA,"directed",0.429666666666667,0.0221839127354028,0.00953168783864476
"IKBKB","SRC",NA,NA,NA,NA,"directed_stimulation",0.474666666666667,0.0142090759619729,0.00674457472328312
"RAPGEF1","SRC",NA,NA,NA,NA,"directed_stimulation",0.415333333333333,0.0267548054273883,0.011112162520842
"ESR1","SRC",NA,NA,NA,NA,"directed_stimulation",0.412,0.0125491161027632,0.00517023583433843
"PAK2","SRC",NA,NA,NA,NA,"directed_stimulation",0.523,0.0335389235452769,0.0175408570141798
"PRKCD","SRC",NA,NA,NA,NA,"directed_stimulation",0.531333333333333,0.0106825170377269,0.00567597738604557
"RAF1","SRC",NA,NA,NA,NA,"directed_stimulation",0.483666666666667,0.0149990625878815,0.00725454660500534
"HLA-A","SRC",NA,NA,NA,NA,"directed",0.331333333333333,0.0237156002725624,0.00785776889030903
"HSP90AA1","SRC",NA,NA,NA,NA,"directed",0.449,0.0181130889000555,0.0081327769161249
"PRKACA","SRC",NA,NA,NA,NA,"directed_stimulation",0.432666666666667,0.0104575967523026,0.00452465352816294
"IRS1","PTK2",NA,NA,NA,NA,"directed",0.425666666666667,0.0318303507039615,0.0135491192829863
"YES1","PTK2",NA,NA,NA,NA,"directed_stimulation",0.488333333333333,0.0376621788577355,0.0183916973421942
"ITGB1","PTK2",NA,NA,NA,NA,"directed_stimulation",0.534,0.0225074568303172,0.0120189819473894
"TP53","PTK2",NA,NA,NA,NA,"directed",0.408666666666667,0.014101300975535,0.00576273166533531
"NCK2","PTK2",NA,NA,NA,NA,"directed_stimulation",0.478,0.0515710623129397,0.0246509677855852
"LCK","PTK2",NA,NA,NA,NA,"directed_stimulation",0.528666666666667,0.0222442026650065,0.0117597684755667
"GRB7","PTK2",NA,NA,NA,NA,"directed_stimulation",0.357333333333333,0.103142124625879,0.0368561191996475
"SRC","PTK2",NA,NA,NA,NA,"directed_stimulation",0.616666666666667,0.0129434249701583,0.00798177873159761
"PAK1","NCK1",NA,NA,NA,NA,"directed_stimulation",0.489,0.0363696483726654,0.0177847580542334
"PAK2","NCK1",NA,NA,NA,NA,"directed_stimulation",0.494,0.0714285714285714,0.0352857142857143
"SOS1","NCK1",NA,NA,NA,NA,"directed_stimulation",0.374,0.0264628062012482,0.00989708951926681
"FASLG","FYN",NA,NA,NA,NA,"directed",0.394,0.080582296402538,0.0317494247826
"IRS1","FYN",NA,NA,NA,NA,"directed",0.409333333333333,0.0248682365650997,0.0101793981673141
"KIT","FYN",NA,NA,NA,NA,"directed_stimulation",0.454666666666667,0.029424494316825,0.0133783367493831
"PRKCD","FYN",NA,NA,NA,NA,"directed_stimulation",0.518666666666667,0.0137192412152395,0.00711571311030424
"SOS1","FYN",NA,NA,NA,NA,"directed_stimulation",0.409666666666667,0.0159576725580782,0.00653732652462605
"PTK2","FYN",NA,NA,NA,NA,"directed_stimulation",0.540333333333333,0.0166228585163803,0.00898188455168413
"TCF4","CTNNB1",NA,NA,NA,NA,"directed_stimulation",0.324333333333333,0.0944911182523068,0.0306466193531648
