,gene_symbol,entrez_id
641,DFFB,1677
642,CSNK2A1,1457
643,CSH1,1442
644,CSF3R,1441
645,CSF3,1440
646,CRTC3,64784
647,CRTC2,200186
648,CRTC1,23373
649,CRKL,1399
650,CRK,1398
651,CREBBP,1387
652,CREB1,1385
653,CPSF6,11052
654,COMMD9,29099
655,COMMD7,149951
656,COMMD3,23412
657,COMMD1,150684
658,COL1A2,1278
659,CNTRL,11064
660,CNPY3,10695
661,CDK5R1,8851
662,CDK5,1020
663,CDK4,1019
664,CDK2,1017
665,CDK1,983
666,CDH1,999
667,CDC23,8697
668,CDC16,8881
669,CD44,960
670,CD36,948
671,CD274,29126
672,CD209,30835
673,CCNT2,905
674,CCNT1,904
675,CCNK,8812
676,CCNE2,9134
677,CCNE1,898
678,CCND3,896
679,CCND2,894
680,CCND1,595
681,CCNC,892
682,CCNB1,891
683,CCNA2,890
684,CCNA1,8900
685,CBX8,57332
686,CBX6,23466
687,CBX5,23468
688,CBX4,8535
689,CBX2,84733
690,CBFB,865
691,CAV1,857
692,CAMK2G,818
693,CAMK2D,817
694,CAMK2B,816
695,CAMK2A,815
696,CALM1,801
697,C3,718
698,C3AR1,719
699,BTC,685
700,BSN,8927
701,BRD8,10902
702,BRCA1,672
703,BOC,91653
704,BMI1,648
705,BIRC5,332
706,BCR,613
707,BCL2L1,598
708,BCL2,596
709,BCAR1,9564
710,BBC3,27113
711,BAMBI,25805
712,BAD,572
713,BACH1,571
714,B2M,567
715,AXIN2,8313
716,AXIN1,8312
717,ASH2L,9070
718,ASF1A,25842
719,ASCL1,429
720,ARIH1,25820
721,AR,367
722,AREG,374
723,ARC,23237
724,APP,351
725,APOB,338
726,APOA1,335
727,ANXA1,301
728,ANAPC7,51434
729,ANAPC5,51433
730,ANAPC4,29945
731,ANAPC2,29882
732,ANAPC1,64682
733,ANAPC16,119504
734,ANAPC15,25906
735,ANAPC10,10393
736,A2M,2
737,SMAD4,4089
738,PRKCA,5578
739,PTEN,5728
740,FKBP1A,2280
741,PRMT1,3276
742,CARM1,10498
743,CTBP1,1487
744,F13A1,2162
745,SKI,6497
746,SIRT6,51548
747,PARP1,142
748,NUDT11,55190
749,NUDT10,170685
750,NQO1,1728
751,NOS2,4843
752,KAT2A,2648
753,GPAM,57678
754,DNM2,1785
755,CA10,56934
756,PTGES3,10728
757,SLC4A1,6521
758,PTGS2,5743
759,RPE,6120
760,PLCG1,5335
761,PIK3R3,8503
762,PIK3R2,5296
763,PIK3R1,5295
764,GCLC,2729
765,EHMT2,10919
766,EHMT1,79813
767,EGFR,1956
768,DNMT1,1786
769,CLTRN,57393
770,ANAPC11,51529
771,TXNRD1,7296
772,TUBA8,51807
773,TALDO1,6888
774,PIKFYVE,200576
775,PIK3CB,5291
776,PIK3CA,5290
777,PGLS,25796
778,PGD,5226
779,NT5E,4907
780,MAOA,4128
781,GSTA3,2940
782,GSTA1,2938
783,GSR,2936
784,GCLM,2730
785,ASNS,440
786,MAPT,4137
787,LILRA4,23547
788,ELK1,2002
789,SRF,6722
790,ETS2,2114
791,POU2F1,5451
792,IFNLR1,163702
793,POLR2A,5430
794,IL13RA2,3598
795,CHD3,1107
796,RAD21,5885
797,SNAI1,6615
798,EPAS1,2034
799,MITF,4286
800,PRDX1,5052
801,OPRD1,4985
802,TLE1,7088
803,MECP2,4204
804,ATF1,466
805,HMGA1,3159
806,MYOD1,4654
807,DDIT3,1649
808,SNCA,6622
809,FANCM,57697
810,FANCA,2175
811,FCGR1A,2209
812,CD93,22918
813,EZH2,2146
814,GLI2,2736
815,MAF1,84232
816,NANOG,79923
817,MLKL,197259
