SW2	SW3	SW4	SW5	SW6	SW7	SW8	SW9	SW10	SW11	SW12	SW13
JAK2	1	1	1	1	1	1	1	1	1	1	1	1
GLI3	1.23913272874416	1	1.25771407043641	1.04433193419307	1	1.08306127389751	1.06372150967571	1.06864615149225	1	1	1.43617552517996	1
GLI1	2.54182033593817	1	1.56207345678926	1.06610131424644	1.17666280083775	1	1.12014653899415	1.15815181514675	1.00693386638915	1	1	1.39448877087485
GH2	1	1	1	1	1	1	1	1	1	1	1	1
GH1	1	1	1	1	1	1	1	1	1	1	1	1
PTPN6	1.76908982388074	1.02305200445556	1.01649086911139	1	1	1.178581029184	1.11886464721526	1	1.36416290687129	1	1.03645077928238	1.05314736034942
MYD88	1	1	1	1	1	1	1	1	1	1	1	1
IRAK2	1	1	1	1	1	1	1	1	1	1	1	1
IRAK1	1	1	1	1	1	1	1	1	1	1	1	1
HMGB1	1	1	1	1	1	1	1	1	1	1	1	1
ITGB1	1.2825777218222	1.03490341728651	1	1	1.07522935043918	1.46160705234391	1	1.00008148049865	1.03328161317716	1.01490439433136	1	1.83088542579354
PTCH1	1	1	1	1	1	1	1	1	1	1	1	1
RHEB	1	1.11486038769253	1	1	1.05544446225561	1.32916518958104	1	1	1	1	1.31622530699253	1
MTOR	1	1	1	1	1	1	1	1	1	1	1	1
MLST8	1	1	1	1	1	1	1	1	1	1	1	1
PPARA	1	1	1	1	1	1.18567424681381	1	1.04280787712416	1.00693386638915	1	1.1035626817551	1
CLOCK	1.00532413604269	1	1.2622188740104	1	1.03289003802418	1	1.19362952200107	1	1	1	1	1
TRAF3	1	1	1	1	1	1	1	1	1	1	1	1
TRAF2	1	1	1	1	1	1	1	1	1	1	1	1
TNFRSF1B	1.1929323169855	1.17408822855418	1	1.07659082742851	1	1.0664353929229	1.22002395093607	1	1.0105583871011	1	1.01300525659912	1
TLR3	1.37878807734327	1.02565292934478	1	1.00261520503315	1	1.19891191095994	1.09665325156335	1	1.00023003152663	1	1.07120033475037	1.09223285989828
TICAM1	1	1	1	1	1	1	1	1	1	1	1	1
RIPK3	1.18746538661274	1	1.0080840667365	1.02633276034365	1.04419921151687	1.00333177965964	1.22140543115757	1	1.00020188428111	1	1.1838278108794	2.00214783282715
RIPK2	1	1	1	1	1	1	1	1	1	1	1	1
RIPK1	1	1	1	1	1	1	1	1	1	1	1	1
IKBKE	1	1	1	1	1	1	1	1	1	1	1	1
PMAIP1	1	1	1	1	1	1	1	1	1	1	1	1
IKBKG	1	1	1	1	1	1	1	1	1	1	1	1
IKBKB	1	1.00076982414204	1.21109258790184	1	1.07563616663237	1	1	1.0000789578581	1.00021016708807	1	1	1.01842864881448
CHUK	1	1	1	1	1	1	1	1	1	1	1	1
RAPGEF1	1	1	1	1	1	1	1	1	1	1	1	1
FANCL	1	1	1	1	1	1	1	1	1	1	1	1
FANCG	1	1	1	1	1	1	1	1	1	1	1	1
FANCC	1	1	1	1	1	1	1	1	1	1	1	1
YWHAZ	1.30546666406269	1.08165037290033	1.28398134122851	1.04258755131111	1	1.3505488908898	1.00860512162096	1.00007856844159	1.00020778373971	1	1.24640868640266	1.28587466624416
YWHAQ	1.09578899736449	1.35853718727045	1	1	1	1.95476241091933	1	1	1.09169732538186	1	1.12410619112605	1.02531604853744
YWHAH	1.35236163916649	2.18964940969736	1	1	1	2.48188837776079	1	1	1.26014705349198	1	1.16319889955789	1.00679131483547
HLA-G	1	1	1	1	1	1	1	1	1	1	1	1
HLA-F	1.02677244134006	1.31539369639974	1.04817886521981	1.00751152933139	1	1.0335764062043	1.10080482689923	1.0300286214221	1.00022045034947	1	1	1.06590363620466
HLA-E	1.26058007666927	1.06055710947101	1	1.03572775882062	1.01601249576761	1.00388808117835	1	1	1.01495415277862	1.01211343734838	1	1.18518386248823
HLA-C	1	1	1	1	1	1	1	1	1	1	1	1
HLA-B	1.18683836166229	1.68288273468146	1	1.00828268675849	1	1.09858147009899	1	1	1.01217842131032	1.02041652526012	1	1.84420544058593
SMURF2	1	1	1	1	1	1	1	1	1	1	1	1
PPP1CC	1	1	1	1	1	1	1	1	1	1	1	1
YWHAG	1	1	1	1	1	1	1	1	1	1	1	1
YWHAE	1	1	1	1	1	1	1	1	1	1	1	1
TP53	4.17825467081721	1.06573787750356	1.81260024638317	1.18260508570188	1.08272164433757	1.18567424681381	1.3607608399166	1	1.10590189342177	1	2.07085436528901	3.47284197394212
ICAM3	1	1	1	1	1	1	1	1	1	1	1	1
F3	1.82419648350156	1	1.0373221093477	1.000311903232	2.14174184751877	1	1.00331031531587	1.00008595771185	1.00026489989504	1	1.00414419232427	2.66155879883707
RARA	5.80448282157668	1	1.36906926682781	1.08804478104412	1.10589599432307	1.09287044012615	1.86261870998435	1	1.16497790619199	1	1.48489307074945	3.47284197394212
NCOA3	1.10972765458115	1	2.08854733976196	1.06021561852699	1	1.08306127389751	1.09279635185849	1.03073145960979	1	1	1.5045410935359	1.01587581245669
MEN1	1	1	1	1	1	1	1	1	1	1	1	1
KAT2B	1	1.09450567228204	1	1	1	1.08306127389751	1	1.01198561148762	1	1	1	1
JUN	10	1.38864825532271	2.37751521900529	1.85389964979067	1	1.38219956551137	5.00983242764941	1	1.75354399901829	1	3.5955109708184	7.79877456770724
ATF2	2.35450783213076	1.00594839163105	1.79709867266463	1.08804478104412	1	1.1585937462229	2.74778916818863	1.14813753401953	1	1	2.83552667025413	1.64824689615374
ESR1	3.19989894115929	1	1.09092150497298	1.43476122843453	1.06020386034084	1	1.3841649230462	1	1.29039919912637	1	1.13312779215087	1.40139694911775
IRS2	1	1	1	1	1	1	1	1	1	1	1	1
VEGFA	1	1	1.01837687312092	1	1.14316280692032	1	1	2.85032934691532	1	1	1	1
HIF1A	4.36310495965871	1	1.48631803564192	1.10908051018945	1.17666280083775	1.06704589740644	2.18566889286431	1	1	1	1.48485051395677	1.81681825664653
NCOR2	1	1	1.05280903778412	1	1	1.06704589740644	1.35205755809052	1.01365824050715	1	1	1.04737054880541	1
NCOR1	1	1	1.20921287295124	1.06890513430428	1	1	1.17921105872652	1.14813753401953	1	1	1.0978362875102	1
MED1	1	1	1	1.0008583508169	1.00038119621499	1.02275642778529	1	1.01198561148762	1.07790367836546	1	1.05737987114215	1
KDM1A	1	1	1	1	1	1	1	1	1	1	1	1
HSP90AB1	1	1.34086762590941	1	1.00054214651735	1.43904339727665	1	1	1.00007706859681	1.00023036135745	1	1.13606515426557	1.0002757973097
PAK3	1	1	1	1	1	1	1	1	1	1	1	1
NCK2	1.15111028272568	1.0199494947789	1.0242704755774	1.00835840265051	1.44184667496434	1	1	1.00009346042156	1	1	1	1.81655805472189
PAK1	1	1	1	1	1	1	1	1	1	1	1	1
SMURF1	1	1	1	1	1	1	1	1	1	1	1	1
RASA1	1	1	1	1	1	1	1	1	1	1	1	1
RHOU	1	1	1	1	1	1	1	1	1	1	1	1
PAK2	1	1	1	1	1	1	1	1	1	1	1	1
LCK	1	1	1	1	1	1	1	1	1	1	1	1
GAB2	1	1	1	1	1	1	1	1	1	1	1	1
FOS	7.16889625178659	1.06573787750356	1.79709867266463	1.26432516413664	1	1.32640701744215	2.80847396046787	1	1.9604885052274	1	2.34359615458046	4.30697318553114
AKT3	1.03066821774918	1	1	1.04885517137562	1.36503873749462	1	1.06595778895095	1	1	1	1	1.98539644310731
PTK6	1	1	1	1	1	1	1	1	1	1	1	1
LAMTOR3	1.24886034646112	1.01919008542498	1	1.00254872803434	1.08826633223039	1.49728601759941	1	1	1.04504650516326	1	1.01527638622221	1.07869994833818
EP300	1.07365919563525	1	1.05824902597554	1	1	1	1.11058199675495	1.09247603347325	1	1	1.06454598027692	1.07528905670264
VIM	4.28411825154055	1	1.29318992985436	1.39674794643248	1.340776490105	1	2.28893432891978	1	1.00022945521988	1	1.08670850178547	6.30732089013146
RELA	10	1.21156651995693	4.20639666924392	1.91807553037992	1	1.30496284313792	3.20173340633663	1	3.88057904719819	1	1.84490989965884	9.38041189622862
PRKCD	1	1	1	1	1	1	1	1	1	1	1	1
PPP3CB	1	1	1	1	1	1	1	1	1	1	1	1
TLR4	1.66945688091064	1.76847554939614	1	1.03760717335887	1	1.11113153114945	1.73396501202445	1	1.71385435930747	1	1	1.31345127951342
TRAF6	1	1	1	1	1	1	1	1	1	1	1	1
LEF1	1.28615253786108	1	1.11319181377252	1.09523378044971	1.00435204584658	1	1.46895175839934	1.01198561148762	1	1	1.05737987114215	1.50437212452299
YWHAB	1.06639065177058	1	1.73628896734316	1.00054059940365	1	1.76985456987094	1	1	1.00020146322599	1	1.52188065617466	1.04552393270928
TRIM24	1	1	1	1	1	1	1	1	1	1	1	1
RAF1	1	1	1.04054328516993	1	1.11795374885784	1	1	1.0093359549619	1	1	1	1
CASP9	1	1	1	1	1	1	1	1	1	1	1	1
FN1	1	1	1	1	1	1.03690527210836	1.10327201324466	1	1.03466071298259	1	1	1
HLA-A	1.09100610770876	1.3561724405457	1.84549585173491	1	1	1.46229807634284	1	1	1.00289970466586	1.02794148873126	1	2.28217888193784
HSP90AA1	1	1	1	1	1	1	1	1	1	1	1	1
FGF2	1	1	1	1	1	1	1	1	1	1	1	1
SOS1	1	1	1.85359427851998	1	1.03254746203103	1	1.09191726254322	1	1	1	1	1.09577140360602
PTPN11	1	1	1	1	1	1	1	1	1	1	1	1
GRB7	1	1	1	1	1	1	1	1	1	1	1	1
RB1	1	1	1	1	1.10589599432307	1	1	1.21508600803885	1	1	1	1
IL6	1	1	1	1	1	1	1	1	1	1	1	1
FZR1	1	1	1.28868757178363	1.01470274281811	1	1.01328385463036	1.07092493235851	1	1.00020550852668	1	1	1
CDC27	1	1	1	1	1	1	1	1	1	1	1	1
CDC26	1.16727306204793	1.16862888678093	1	1	1.120614643017	1.02813399251201	1	1.0000797970585	1	1	1.85203253697246	1.09924063045124
