SW2	SW3	SW4	SW5	SW6	SW7	SW8	SW9	SW10	SW11	SW12	SW13
TRIM24	1	1	1	1	1	1	1	1	1	1	1	1
RAF1	1.1569955725784	1.00371225744258	1	1.00193007836406	1	1.31748350461082	1.08923196431002	1	1.00020583984627	1	1.04959675051169	3.23343253414839
CASP9	1	1	1	1	1	1	1	1	1	1	1	1
FN1	1.02299447661533	1.01803838807092	1.03442467545007	1.0126681426018	1.01242411471222	1	1	1.00008906203506	1	1.02152634482411	1.00802679255133	1.01204746875788
HLA-A	1	1	1	1.09643443592997	1.08488402212071	1	1.21531385746776	1.00008851720886	1	1	1.06554750197747	1
HSP90AA1	1	1	1	1	1	1	1	1	1	1	1	1
FGF2	1	1	1	1	1	1	1	1	1	1	1	1
SOS1	1.28458401725214	1.14261851667549	1	1.16240001838668	1	1.38713776501927	1	1.00008237464718	1.00022365848764	1	1.04035430068999	1
PTPN11	1	1	1	1	1	1	1	1	1	1	1	1
GRB7	1	1	1	1	1	1	1	1	1	1	1	1
RB1	1.89829579068249	1.00594839163105	1.16051235069285	2.7316831257971	1	1.08294115261552	1.07322401208203	1	1.34260293544546	1	1.05151941454862	1.43445372211972
IL6	1	1	1	1	1	1	1	1	1	1	1	1
FZR1	1.26174924158427	1.01954026699479	1	1	1.16649581926466	1	1	1.00007606898219	1	1	1.02791838030411	1.18034837209895
CDC27	1	1	1	1	1	1	1	1	1	1	1	1
CDC26	1	1	2.1799806032538	1.0011537164458	1	1	1.23888848081605	1	1.00020048061295	1	1	1
PPP2R5A	1	1	1	1	1	1	1	1	1	1	1	1
PPP2R1B	1	1	1	1	1	1	1	1	1	1	1	1
PPP2R1A	1	1	1	1	1	1	1	1	1	1	1	1
PPP2CB	1	1	1	1	1	1	1	1	1	1	1	1
PPP2CA	1	1	1.02893694728858	1	1	1.00249622290919	1.30886541916348	1.00008184204157	1	1	1.0041546044483	1.12324583252853
CUL1	1	1.11176292507304	1	1	1.04140571918295	1	1	1	1.00021617388096	1	1	1.16452084103849
ELOC	1	1	1.03336753205528	1.04864993068251	1	1	1.13055085708254	1.00008326078145	1	1	1	1
ELOB	1.01379699404292	1	1.26711657727974	1	1	1.00049468102535	1.17093838630635	1.00007923742461	1	1	1	1
CDK9	1	1	1	1	1	1	1	1	1	1	1	1
PPARG	1.47391595159305	1	1.13230491647806	1.00006672907679	1.12090950586669	1	1.09026737706753	1.03073145960979	1.00693386638915	1	1	2.21635358309624
PRKACG	1	1	1	1	1	1	1	1	1	1	1	1
PRKACB	1	1	1	1	1	1	1	1	1	1	1	1
PRKACA	1.40493711855507	1.14460390363345	1	1	1	1.0183739456836	1	1.00009334236915	1.00022472345106	1	1	1.17256104356728
TNF	1	1	1	1.0003122792805	2.00353948812767	1	1.03165782526374	1	1	1	1	1
IHH	1	1	1	1	1	1	1	1	1	1	1	1
GHR	1	1	1	1	1	1	1	1	1	1	1	1
ERBB4	1	1	1	1	1	1	1	1	1	1	1	1
PPP3R1	1	1	1	1	1	1	1	1	1	1	1	1
PPP3CA	1	1	1	1	1	1	1	1	1	1	1	1
YY1	1	1	1.19678525793222	1	1.00038119621499	1	1	1.06724683372229	1	1	1	1
RBX1	1.01702991307918	1	1	1	1.05651491707309	1	2.12755968038073	1	1	1	1	1
PPARD	1	1	1	1.06429453724741	1.08869976923453	1	1	1	1.00693386638915	1	1	1.32297564023098
CXCL12	1	1.06606402576454	1	1	1.02336028308391	1.0759379342113	1	1.00007853698747	1	1.01496756849541	1.02541409637716	1
CCL2	1	1	1	1	1.01671768815459	1	1	1.00009868754519	1	1	1	1
CCL22	1	1	1	1	1	1	1	1	1	1	1	1
CCL11	1	1	1	1	1	1	1	1	1	1	1	1
CXCL8	1	1	1	1.00912832217993	1.63562391149352	1	1	1	1	1	1	1
SNW1	1	1	1	1	1	1	1	1	1	1	1	1
DDX5	1	1	1	1	1	1	1	1	1	1	1	1
KAT5	1	1.14353260389349	1	1	1.22440075526618	1	1	1	1.06924339542986	1	1	1.00981711657331
CHEK2	1	1	1	1	1	1	1	1	1	1	1	1
SRC	1	1	1	1	1.11145264608141	1	1	1	1.09618114356427	1	1	1
PTK2	1.31244552787809	1.50216854637838	1	1	1	1.10562081552828	1.30609175358585	1	1.00020385948796	1	1.15356707579236	1
