nes_SW2	fdr_SW2	nes_SW3	fdr_SW3	nes_SW4	fdr_SW4	nes_SW5	fdr_SW5	nes_SW6	fdr_SW6	nes_SW7	fdr_SW7	nes_SW8	fdr_SW8	nes_SW9	fdr_SW9	nes_SW10	fdr_SW10	nes_SW11	fdr_SW11	nes_SW12	fdr_SW12	nes_SW13	fdr_SW13
CTNNB1	3.35138740239061	0.00350456334247549	-1.65486946889666	0.443660314814411	2.15728917726721	0.189308191274867	0.642905883409428	0.795886790722741	0.907938984867903	0.724683758914583	-0.847941689690862	0.693823279446646	0.0934430610258935	0.952197227858159	-0.813676473552614	0.818883144028813	1.22205092149469	0.700175441426116	-2.03071786803705	0.992648160101677	2.84086382553657	0.0279297504674151	3.1878470998601	0.0108207703548753
CUX1	4.27150915174352	0.00014467646095039	1.49940110949452	0.517867878505762	0.220512964306265	0.92531174275963	2.78000480176565	0.0594832115259019	-0.318686270277522	0.892998879529651	0.067393213578664	0.967203819291187	2.18311231669168	0.134630532659233	-1.53397716841965	0.552780619178625	0.528480006164461	0.922583902502681	0.413079759245828	0.992648160101677	1.49012726218244	0.305437568254927	0.906240550988104	0.518798955238446
CUX2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CXXC1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DACH1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DACH2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DAXX	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DBP	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DBX1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DDIT3	2.48282189792725	0.03607312468396	1.26382641908657	0.59566912155712	0.432876994590435	0.853550305212956	-1.4340359530988	0.432232379455345	-0.500076298911415	0.85348462749218	2.95744920942424	0.0477701605706423	-1.59255089049899	0.333782933898611	0.785839359213297	0.831526089020032	1.85182863602361	0.348639948577286	-1.11474934997001	0.992648160101677	2.52498784681762	0.0575148295136463	0.224129531136164	0.875731128248558
DDX5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DEAF1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DLX1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DLX2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DLX3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DLX4	2.24269035600487	0.0612316835281127	-0.539919455106247	0.837282597312383	1.00191253838057	0.61590809744228	-0.267823351855787	0.903723693794605	1.52933360544709	0.399287495768113	-0.409080059858457	0.861492295067981	-0.376890053636077	0.863387527770729	0.701091183881542	0.839322194272091	0.981339105784761	0.812330433651024	-1.33413569087026	0.992648160101677	0.916651544750903	0.567762757271514	0.871628975991525	0.527189874584122
