gene_symbol	entrez_id
538	CCNYL6	641367
539	BRI3BPP1	641367
540	VN1R84P	NA
541	PIWIL1	9271
542	MTDHP4	NA
543	KRT18P40	NA
544	ZNF430	80264
545	ARHGEF26	26084
546	ZNF85	7639
547	KRTAP9-9	81870
548	KRTAP9-2	83899
549	KRTAP9-4	85280
550	KRTAP9-3	83900
551	KRTAP9-10P	NA
552		100505724
553		100507608
554	KRTAP29-1	100533177
555	BNIP3P24	NA
556	ZNF66	7617
557	ARHGEF26-AS1	100507524
558	TPO	7173
559	PRODH	5625
560	FAM157A	NA
561		100288966
562	RNU6-821P	NA
563	U6	124904108
564	U6	124904706
565	U6	124906683
566	ANKRD18DP	348840
567	DNAH10	196385
568	U6	124905313
569	SUDS3P1	NA
570	PROP1	5626
571	DLGAP2	9228
572	KRTAP9-6	100507608
573	KRTAP9-7	100505724
574		401442
575	KRTAP9-12P	NA
576	ERICH1	157697
577	KRTAP9-11P	NA
578	RPS17	6218
579	CTDP1-DT	284241
580	FTCD	10841
581	CTDP1	9150
582	DLG5-AS1	NA
583	CCDC92	80212
584	RN7SL284P	NA
585	RNU6-1266P	NA
586		389831
587		124900580
588	DNM1P38	NA
589	CRIM1	51232
590	RPL21P36	NA
591	CRIM1-DT	NA
592	CPEB1	64506
593	RNU6-222P	NA
594	FTCD-AS1	100861507
595	LSS	4047
596	GARRE1	9710
597	PRB1	5542
598	PRB1	653247
599	SKA1	220134
600	DSEL-AS1	643542
601	DSEL	92126
602	LSM14A	26065
603	GOLGA8DP	100132979
604	CYFIP1	23191
605	SEPTIN9-DT	105371907
606	SEPTIN9	10801
607	ABCB10P1	NA
608	TUBGCP5	114791
609	MAPK4	5596
610	ZNF965P	NA
611	RNA5SP458	NA
612	GXYLT1P1	NA
613	CYP4F34P	NA
614	CNN2P12	NA
615	SNX18P26	NA
616	LINC00328-2P	NA
617	ANKRD20A9P	NA
618	RNU6-55P	NA
619	SPATC1L	84221
620	GOLGA6L1	283767
621	GOLGA6L1	124900581
622	GOLGA6L1	124905482
623	GOLGA6L1	124907501
624	APOBEC3B-AS1	100874530
625	MPHOSPH10P5	NA
626	APOBEC3A	200315
627	APOBEC3A	100913187
628	CNTNAP2	26047
629		105374682
630		107987420
631	SLC45A2	51151
632	SMN2	6606
633	SMN2	6607
634	RXFP3	51289
635		286083
636	ADAMTS12	81792
637	DLGAP2-AS1	100507435
638	ELMO2P1	NA
639	LINC02549	101928280
640	AP2A2	161
641	U3	124901859
642	ABCB11	8647
643	G6PC2	57818
644	AADACL2	344752
645	SPC25	57405
646	METRNL	284207
647	LINC02066	NA
648	AADACL2-AS1	NA
649	GOLGA6L9	440295
650		102725023
651	GART	2618
652	DECR2	26063
653	TBCD	6904
654	NOSTRIN	115677
655	CDH12P2	NA
656	RNU6-1025P	NA
657	MUC6	4588
658	GTF2H2	2966
659	GTF2H2	728340
660	UBE2Q2P6	NA
661	GOLGA6L10	647042
662	FRG1-DT	728339
663	RPS5P3	NA
664	DNAJC28	54943
665	GOLGA6L10	643707
666	GOLGA6L10	102724117
667	LINC01596	105377617
668	RNU1-51P	NA
669	IFNGR2	3460
670	GNG5P1	NA
671		101929297
672	LRRC56	115399
673	CSPG4P10	NA
674	GOLGA6L17P	NA
675	SLC25A51P1	NA
676	ADH5P4	NA
677	GOLGA2P10	NA
678	KRT20	54474
679	PHRF1	57661
680	GOLGA6L22	440243
681	RAB11FIP3	9727
682	KRTAP3-1	83896
683	KRTAP5-6	440023
684	HERC2P7	NA
685	KRTAP3-2	83897
686	KRTAP5-1	387264
687	SPATA31E3P	NA
688	KRTAP5-4	387267
689	MPHOSPH10P9	NA
690	ADAMTS7P1	NA
691	KRTAP4-9	100132386
692	TMEM50B	757
693	GOLGA8EP	390535
694	KRTAP2-4	85294
695	B3GNTL1	146712
696	B3GNTL1	124907948
697	KRTAP5-5	439915
698	KRT23	25984
699	FAM99A	387742
700	LINC02708	NA
701	KRTAP5-AS1	338651
702	HERC2P2	NA
703	DUSP8	1850
704	KIF26B	55083
705	UBE2Q2P2	NA
706	FAM99B	100132464
707	IFITM10	402778
708	UBE2Q2P2	100134869
709	KRTAP5-3	387266
710	KRTAP5-2	440021
711	GOLGA8IP	NA
712	GOLGA8IP	283796
713	SDHAP2	NA
714	MUC20-OT1	NA
715	LINC00235	NA
716	CAPN15	6650
717	KRT40	125115
718	U1	NA
719		124903857
720		124905556
