	Steatosis	Ballooning	Fibrosis	NAS	Inflammation	average_cor	median_cor
sw_graphs_8_24_03_12	0.8374687425355412	0.8775799223697636	0.9120879120879121	0.8901098901098901	0.8088040663846724	0.8652101066975559	0.8775799223697636
sw_graphs_8_24_03_13	0.8374687425355412	0.8775799223697636	0.9120879120879121	0.8956043956043956	0.8088040663846724	0.866309007796457	0.8775799223697636
sw_graphs_8_24_03_14	0.8374687425355412	0.8775799223697636	0.9120879120879121	0.8901098901098901	0.8088040663846724	0.8652101066975559	0.8775799223697636
sw_graphs_8_24_03_18	0.8374687425355412	0.8775799223697636	0.9120879120879121	0.8901098901098901	0.8088040663846724	0.8652101066975559	0.8775799223697636
sw_graphs_8_24_03_17	0.8105311390039183	0.8775799223697636	0.9120879120879121	0.8901098901098901	0.8088040663846724	0.8598225859912313	0.8775799223697636
sw_graphs_8_24_03_16	0.8105311390039183	0.8775799223697636	0.9120879120879121	0.8901098901098901	0.8088040663846724	0.8598225859912313	0.8775799223697636
sw_graphs_8_24_03_123	0.6969723416496444	0.8736263736263736	0.9120879120879121	0.8736263736263736	0.7812937239906359	0.8275213449961878	0.8736263736263736
sw_graphs_8_24_03_125	0.6969723416496444	0.8736263736263736	0.9120879120879121	0.8736263736263736	0.7812937239906359	0.8275213449961878	0.8736263736263736
sw_graphs_8_24_03_55	0.7785426897512322	0.9105923332426074	0.9010989010989011	0.8681318681318682	0.811555100624076	0.853984178569737	0.8681318681318682
sw_graphs_8_24_03_53	0.7785426897512322	0.9105923332426074	0.9010989010989011	0.8681318681318682	0.811555100624076	0.853984178569737	0.8681318681318682
sw_graphs_8_24_03_75	0.7895468267088468	0.8775799223697636	0.9010989010989011	0.8681318681318682	0.7702895870330213	0.8413294210684802	0.8681318681318682
sw_graphs_8_24_03_73	0.7895468267088468	0.8775799223697636	0.9010989010989011	0.8681318681318682	0.7702895870330213	0.8413294210684802	0.8681318681318682
sw_graphs_8_24_03_85	0.7895468267088468	0.8901098901098901	0.9120879120879121	0.8681318681318682	0.7912087912087912	0.8502170576494616	0.8681318681318682
sw_graphs_8_24_03_83	0.7895468267088468	0.8901098901098901	0.9120879120879121	0.8681318681318682	0.7912087912087912	0.8502170576494616	0.8681318681318682
sw_graphs_8_24_03_129	0.6694489270953864	0.8736263736263736	0.9120879120879121	0.8681318681318682	0.7812937239906359	0.8209177609864351	0.8681318681318682
sw_graphs_8_24_03_128	0.6969723416496444	0.8736263736263736	0.9120879120879121	0.8681318681318682	0.7812937239906359	0.8264224438972867	0.8681318681318682
sw_graphs_8_24_03_124	0.6969723416496444	0.8736263736263736	0.9120879120879121	0.8681318681318682	0.7812937239906359	0.8264224438972867	0.8681318681318682
sw_graphs_8_24_03_126	0.6694489270953864	0.8736263736263736	0.9120879120879121	0.8681318681318682	0.7812937239906359	0.8209177609864351	0.8681318681318682
sw_graphs_8_24_03_127	0.6694489270953864	0.8736263736263736	0.9120879120879121	0.8681318681318682	0.7812937239906359	0.8209177609864351	0.8681318681318682
sw_graphs_8_24_03_122	0.6969723416496444	0.8736263736263736	0.9120879120879121	0.8681318681318682	0.7812937239906359	0.8264224438972867	0.8681318681318682
sw_graphs_8_24_03_121	0.6969723416496444	0.8736263736263736	0.8956043956043956	0.8681318681318682	0.7812937239906359	0.8231257406005834	0.8681318681318682
sw_graphs_8_24_03_30	0.7894785440503169	0.8671328671328671	0.8881118881118881	0.8881118881118881	0.756568585805414	0.8378807546424747	0.8671328671328671
sw_graphs_8_24_03_40	0.795097541564023	0.8671328671328671	0.8881118881118881	0.8671328671328671	0.7902097902097902	0.8415369908302871	0.8671328671328671
sw_graphs_8_24_03_100	0.7250448947301883	0.8741258741258742	0.916083916083916	0.8671328671328671	0.7740817475138726	0.8312938599173435	0.8671328671328671
sw_graphs_8_24_03_79	0.7624425757515653	0.8775799223697636	0.9010989010989011	0.8626373626373627	0.7702895870330213	0.8348096697781227	0.8626373626373627
sw_graphs_8_24_03_78	0.7895468267088468	0.8775799223697636	0.9010989010989011	0.8626373626373627	0.7702895870330213	0.8402305199695791	0.8626373626373627
sw_graphs_8_24_03_86	0.7624425757515653	0.8901098901098901	0.9120879120879121	0.8626373626373627	0.7912087912087912	0.8436973063591042	0.8626373626373627
sw_graphs_8_24_03_89	0.7624425757515653	0.8901098901098901	0.9120879120879121	0.8626373626373627	0.7912087912087912	0.8436973063591042	0.8626373626373627
sw_graphs_8_24_03_84	0.7895468267088468	0.8901098901098901	0.9120879120879121	0.8626373626373627	0.7912087912087912	0.8491181565505606	0.8626373626373627
sw_graphs_8_24_03_51	0.7785426897512322	0.9105923332426074	0.8846153846153846	0.8626373626373627	0.811555100624076	0.8495885741741326	0.8626373626373627
sw_graphs_8_24_03_52	0.7785426897512322	0.9105923332426074	0.9010989010989011	0.8626373626373627	0.811555100624076	0.8528852774708359	0.8626373626373627
sw_graphs_8_24_03_54	0.7785426897512322	0.9105923332426074	0.9010989010989011	0.8626373626373627	0.811555100624076	0.8528852774708359	0.8626373626373627
sw_graphs_8_24_03_82	0.7895468267088468	0.8901098901098901	0.9120879120879121	0.8626373626373627	0.7912087912087912	0.8491181565505606	0.8626373626373627
sw_graphs_8_24_03_56	0.7513926833493687	0.9105923332426074	0.9010989010989011	0.8626373626373627	0.811555100624076	0.8474552761904632	0.8626373626373627
sw_graphs_8_24_03_57	0.7513926833493687	0.9105923332426074	0.9010989010989011	0.8626373626373627	0.811555100624076	0.8474552761904632	0.8626373626373627
sw_graphs_8_24_03_58	0.7785426897512322	0.9105923332426074	0.9010989010989011	0.8626373626373627	0.811555100624076	0.8528852774708359	0.8626373626373627
sw_graphs_8_24_03_59	0.7513926833493687	0.9105923332426074	0.9010989010989011	0.8626373626373627	0.811555100624076	0.8474552761904632	0.8626373626373627
sw_graphs_8_24_03_81	0.7895468267088468	0.8901098901098901	0.8956043956043956	0.8626373626373627	0.7912087912087912	0.8458214532538573	0.8626373626373627
sw_graphs_8_24_03_88	0.7895468267088468	0.8901098901098901	0.9120879120879121	0.8626373626373627	0.7912087912087912	0.8491181565505606	0.8626373626373627
sw_graphs_8_24_03_72	0.7895468267088468	0.8775799223697636	0.9010989010989011	0.8626373626373627	0.7702895870330213	0.8402305199695791	0.8626373626373627
sw_graphs_8_24_03_74	0.7895468267088468	0.8775799223697636	0.9010989010989011	0.8626373626373627	0.7702895870330213	0.8402305199695791	0.8626373626373627
sw_graphs_8_24_03_77	0.7624425757515653	0.8775799223697636	0.9010989010989011	0.8626373626373627	0.7702895870330213	0.8348096697781227	0.8626373626373627
sw_graphs_8_24_03_87	0.7624425757515653	0.8901098901098901	0.9120879120879121	0.8626373626373627	0.7912087912087912	0.8436973063591042	0.8626373626373627
sw_graphs_8_24_03_76	0.7624425757515653	0.8775799223697636	0.9010989010989011	0.8626373626373627	0.7702895870330213	0.8348096697781227	0.8626373626373627
sw_graphs_8_24_03_71	0.7895468267088468	0.8775799223697636	0.8846153846153846	0.8626373626373627	0.7702895870330213	0.8369338166728758	0.8626373626373627
