nes_SW2	fdr_SW2	nes_SW3	fdr_SW3	nes_SW4	fdr_SW4	nes_SW5	fdr_SW5	nes_SW6	fdr_SW6	nes_SW7	fdr_SW7	nes_SW8	fdr_SW8	nes_SW9	fdr_SW9	nes_SW10	fdr_SW10	nes_SW11	fdr_SW11	nes_SW12	fdr_SW12	nes_SW13	fdr_SW13
CEBPG	2.90767593634189	0.0364125455559834	-0.991552743341648	0.648729039488597	0.346281625006737	0.879048351326342	-0.308534728531057	0.960987351416466	-0.203348195954943	0.962278904681976	0.481891352486013	0.983396149753082	3.19338961290247	0.0261359770860477	-1.10706008042767	0.522291590530361	1.13465239527943	0.812701932468276	-0.241015821414875	0.923204638107546	-0.0497115302138484	0.987278032563747	-0.844986715324083	0.669264066742268
CEBPZ	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CGGBP1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CHD4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CIC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CIITA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CITED2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CLOCK	0.242971086270143	0.902455776427305	-1.31662478113503	0.551362322150364	-0.842482020088191	0.72044631999415	1.13715991148899	0.960987351416466	1.29303623853389	0.61701697744042	0.292103972749658	0.983396149753082	0.0960466448881262	0.967299540945415	1.2010360019813	0.483878809733596	-0.940616858625526	0.849151544821727	-0.913014106193819	0.635773815835524	1.2024230361769	0.68828839727197	-0.00241390163775778	0.998073987022391
CNOT4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CNOT7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
COPS5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CREB1	3.09114511026523	0.0274155980327304	-0.421868746432552	0.889470128601719	-1.50799258364474	0.494089954073255	1.31872840050062	0.960987351416466	1.28917548382347	0.61701697744042	-0.336085798943149	0.983396149753082	1.63540803100664	0.287589471742477	1.56421434452443	0.336477827455469	0.0650360951959247	0.992870520696487	2.23409839014147	0.1556903328484	-0.127907044126533	0.965832083967358	1.49399905373839	0.407370443889547
CREB3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CREB3L1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CREB3L2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CREB3L3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CREB3L4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CREB5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CREBBP	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CREBL2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CREBRF	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CREBZF	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CREG1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CREM	-1.88513336116027	0.21081618850729	-1.85913168323817	0.348645984411371	1.64683831202165	0.456460052720275	-0.154938758942035	0.974299552633721	-2.41356432966402	0.3071442735733	0.240393083480753	0.983396149753082	-0.113654148890567	0.966631069448614	0.653873552585203	0.77330493385229	-2.01330430542492	0.359191765052098	-0.370991129562781	0.880175586236941	1.44679652140849	0.655419552305651	-1.93436072590918	0.233502683498857
CRX	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CTBP1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CTBP2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CTCF	1.18598763156604	0.476328950331597	1.06562166241405	0.624265689107056	-1.89892740364902	0.327072764573232	-0.894371952670645	0.960987351416466	0.881795699559255	0.769520857561381	-0.366933614748327	0.983396149753082	2.16673969644202	0.141816402877909	-0.404958539732135	0.864775489143149	-0.25152976091221	0.961900310396585	-1.12742660990101	0.53367919441282	0.350045096438795	0.937304468785113	0.240338907071766	0.923234091568015
CTCFL	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CTNNB1	1.79748585308684	0.237266788742674	1.21787641958859	0.606414894083754	-0.829238158753612	0.72044631999415	1.01478014882654	0.960987351416466	1.10492100933429	0.709547849482709	0.853419504760895	0.983396149753082	2.14937395410634	0.141816402877909	2.35706169049169	0.112567806220917	1.84286124290507	0.463365569990004	0.645540473038674	0.786806481195318	1.23163636325167	0.68828839727197	2.84471732518264	0.0767617283063192
CUX1	2.09805262500259	0.160029350018194	-0.490285971674254	0.86261383909666	-2.06353479702373	0.32345501892701	0.831237036678425	0.960987351416466	0.888080966804723	0.769520857561381	0.0281860361381454	0.98648179062651	1.6791280589909	0.270764745928979	2.31347635496147	0.118823586822529	0.964173632040057	0.844754320993137	-1.74221029774257	0.305576848250048	0.0774414724767085	0.976183074515581	2.50029741681641	0.0853112432172509
CUX2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CXXC1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DACH1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DACH2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DAXX	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DBP	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DBX1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DDIT3	1.64333827384533	0.260953230424019	1.24485213401943	0.593682833472119	-0.809358112189494	0.72044631999415	-0.0490823525708537	0.993874833710058	1.94091697362671	0.417485153974224	-0.866623272936793	0.983396149753082	1.16906130204322	0.507548852769885	-0.185386614577848	0.926352961159202	0.394014236180175	0.961900310396585	3.87467412292442	0.00469776908628148	-0.805922457154049	0.774348765362977	0.825458090963221	0.669264066742268
DDX5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DEAF1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DLX1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DLX2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DLX3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DLX4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DLX5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DLX6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DMAP1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DMBX1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DMRT1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DMRT3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DMRTA1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DMRTA2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DMTF1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DNAJC1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DNAJC2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DNMT1	2.50899027858218	0.0783438224258721	-0.633388701064246	0.798792013599371	-0.649625408025479	0.800405134986661	1.41072307402778	0.960987351416466	0.739511867744358	0.817489281287074	1.2178711356126	0.983396149753082	0.25284192257061	0.912362080297382	3.20415069914301	0.0194305752127721	2.06674814022616	0.352298757181462	0.313665379397981	0.9009509279953	0.707735336148531	0.81080091106903	2.6953674224305	0.0767617283063192
DNMT3A	-0.687643088833815	0.706987350957943	-0.165606831694509	0.948513822914615	0.965846307959468	0.650501242153544	0.670684675221786	0.960987351416466	-1.49755876485364	0.547307951503813	0.863910246332558	0.983396149753082	-0.424654194745059	0.848718133740846	0.49696307674063	0.830654388051518	-0.788587974224243	0.885306046673616	0.409190584843111	0.871182545164005	2.02034271484101	0.612092947279523	-1.41140774714576	0.440346485929898
DNMT3B	0.407739514056479	0.853589577014034	0.284641411528807	0.911398395246045	-2.46375618843653	0.275474520927317	1.78248357772554	0.960987351416466	1.06952879702981	0.721059009146174	0.766321542161707	0.983396149753082	0.0653878242609547	0.971777450123623	0.169160177614818	0.9269862678986	-0.522200734202631	0.944612565758327	-1.88009806077296	0.275434109191594	0.184503221297629	0.965832083967358	1.67572870037525	0.307372844258791
DNMT3L	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DOT1L	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DPF3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DR1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DRAP1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DRGX	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DTX1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
