nes_NAS_1_vs_NAS_0	fdr_NAS_1_vs_NAS_0	nes_NAS_2_vs_NAS_1	fdr_NAS_2_vs_NAS_1	nes_NAS_3_vs_NAS_2	fdr_NAS_3_vs_NAS_2	nes_NAS_4_vs_NAS_3	fdr_NAS_4_vs_NAS_3	nes_NAS_5_vs_NAS_4	fdr_NAS_5_vs_NAS_4	nes_NAS_6_vs_NAS_5	fdr_NAS_6_vs_NAS_5	nes_NAS_7_vs_NAS_6	fdr_NAS_7_vs_NAS_6
CTNNB1	1.7550726673288	0.265304768356888	-0.296610511853898	0.936177224214436	0.405977041942196	0.978420451943337	2.00921907085761	0.140859072686222	1.90031981042843	0.169966136984308	1.24122278904304	0.962321347823288	2.12534208051075	0.258397211361678
CUX1	1.98274625727324	0.201146197857909	1.88591450687099	0.501782119125467	1.03054173552434	0.978420451943337	0.630215162941766	0.69210368066977	2.59292255421779	0.0477889774407502	0.162990705777738	0.976172081720909	2.63896062083832	0.108138836470701
CUX2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CXXC1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DACH1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DACH2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DAXX	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DBP	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DBX1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DDIT3	2.1359735363038	0.157280060027101	-1.41579453995344	0.597746905470603	2.37662944252916	0.576563791367189	2.78449115835298	0.0294864804952378	1.09962714619802	0.455435051500771	0.661582259372736	0.962321347823288	1.72219919963439	0.357140447139152
DDX5	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DEAF1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DLX1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DLX2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DLX3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DLX4	0.55832192268077	0.812196813485095	0.174625984510054	0.966397351123826	-0.628157803098926	0.978420451943337	2.06497333711493	0.12845422643442	0.0740585317725897	0.974720360749527	0.13000773418145	0.984194289847463	0.654568690239325	0.77923820886346
DLX5	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DLX6	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DMAP1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DMBX1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DMRT1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DMRT3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DMRTA1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DMRTA2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DMTF1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DNAJC1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DNAJC2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DNMT1	2.38775638880844	0.0978953408113107	-0.736186527496024	0.866939600902105	1.01706815217822	0.978420451943337	1.27243562768368	0.375547570259375	-0.0165241168549441	0.991106767733396	0.570476781338956	0.976172081720909	0.87107706887966	0.705088687947248
DNMT3A	0.130860739414449	0.951747600489646	-0.0102538619277705	0.99181874524463	-0.319656893175205	0.978420451943337	0.958446774589815	0.545737529867082	-1.76387295031311	0.213821772778203	0.68084115361674	0.962321347823288	-0.746578030996983	0.737725947668591
DNMT3B	-0.381610821783008	0.882604054841882	1.27968404561261	0.681127495389319	0.147417651977109	0.978420451943337	-0.419074731013163	0.809050510638361	-0.024920488583374	0.991106767733396	-0.66279306118186	0.962321347823288	0.0576732339849658	0.967346656291701
DNMT3L	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DOT1L	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DPF3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DR1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DRAP1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DRGX	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DTX1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DUX4	1	1	1	1	1	1	1	1	1	1	1	1	1	1
E2F1	0.935444970262745	0.595839206372512	0.744158493967401	0.866939600902105	0.909855341086529	0.978420451943337	3.56320233771848	0.00426380901693515	4.8370755969009	2.53644400756828e-05	-0.728063980547354	0.962321347823288	4.22161110020757	0.00560319022937812
